Price,Sq Ft,Bedrooms,Full Bath,Property Type,Taxes,Style,Lot Size,Year Built,Town/City,Half Bath
599000.0,5000.0,4,1.0, Single Family ,6463.0,Cape Cod,0.11,1950.0,Uniondale,1
450000.0,1120.0,3,1.0, Single Family ,12568.0,Cape Cod,0.11,1947.0,Uniondale,0
600000.0,7500.0,3,1.0, Single Family ,8659.0,Colonial,0.17,1900.0,Uniondale,1
535000.0,1943.0,4,2.0, Single Family ,10106.0,Hi Ranch,0.11,1973.0,Uniondale,0
749777.0,1800.0,4,2.0, Single Family ,7705.0,Colonial,0.16,1920.0,Uniondale,1
629000.0,4000.0,4,2.0, Single Family ,8783.0,Cape Cod,0.09,1947.0,Uniondale,0
469000.0,4000.0,2,1.0, Single Family ,7087.0,Ranch,0.09,1927.0,Uniondale,0
599000.0,4000.0,2,2.0, Single Family ,5572.0,Ranch,0.09,1931.0,Uniondale,0
599000.0,8025.0,3,2.0, Single Family ,9966.0,Split Level,0.18,1955.0,Uniondale,1
649888.0,6200.0,4,2.0, Single Family ,8014.0,Cape Cod,0.14,1950.0,Uniondale,0
629900.0,6000.0,4,3.0, Single Family ,6574.0,Cape Cod,0.12,1948.0,Uniondale,0
649000.0,9375.0,5,2.0, Single Family ,9100.0,Exp Cape,0.22,1925.0,Uniondale,0
590000.0,5500.0,4,1.0, Single Family ,7174.0,Cape Cod,0.13,1948.0,Uniondale,0
639900.0,5278.0,4,2.0, Single Family ,8200.0,Cape Cod,0.12,1949.0,Uniondale,0
525000.0,7320.0,3,1.0, Single Family ,8707.0,Cape Cod,0.17,1950.0,Uniondale,0
575000.0,6305.0,4,2.0, Single Family ,7129.0,Cape Cod,0.14,1951.0,Uniondale,0
350000.0,1142.0,4,2.0, Single Family ,8722.0,Cape Cod,0.11,1949.0,Uniondale,0
405000.0,10000.0,5,2.0, Single Family ,5500.0,Hi Ranch,0.23,1938.0,Uniondale,0
425000.0,6000.0,4,2.0, Single Family ,9126.0,Colonial,0.14,1929.0,Uniondale,0
519999.0,1224.0,4,1.0, Single Family ,7963.0,Cape Cod,0.11,1949.0,Uniondale,0
425000.0,464.0,2,1.0, Single Family ,5255.0,"Cottage,Bungalow",0.08,1927.0,Uniondale,0
565999.0,6000.0,4,2.0, Single Family ,10300.0,Cape Cod,0.14,1960.0,Uniondale,0
250000.0,1465.0,4,1.0, Single Family ,9000.0,Cape Cod,0.17,1948.0,Uniondale,0
565999.0,1200.0,4,2.0, Single Family ,7800.0,Cape Cod,0.11,1949.0,Uniondale,0
574999.0,6000.0,4,2.0, Single Family ,10500.0,Cape Cod,0.14,1950.0,Uniondale,0
